Date,Load,Zone
5/17/2019 12:00:00 AM,980.2,CAPITL
5/17/2019 12:00:00 AM,1394.7,CENTRL
5/17/2019 12:00:00 AM,494,DUNWOD
5/17/2019 12:00:00 AM,869.3,GENESE
5/17/2019 12:00:00 AM,790.5,HUD VL
5/17/2019 12:00:00 AM,1674.3,LONGIL
5/17/2019 12:00:00 AM,649.8,MHK VL
5/17/2019 12:00:00 AM,195.2,MILLWD
5/17/2019 12:00:00 AM,4437.6,N.Y.C.
5/17/2019 12:00:00 AM,464.1,NORTH
5/17/2019 12:00:00 AM,1347.1,WEST
5/17/2019 1:00:00 AM,948.5,CAPITL
5/17/2019 1:00:00 AM,1356.5,CENTRL
5/17/2019 1:00:00 AM,467.7,DUNWOD
5/17/2019 1:00:00 AM,828.9,GENESE
5/17/2019 1:00:00 AM,759,HUD VL
5/17/2019 1:00:00 AM,1593.3,LONGIL
5/17/2019 1:00:00 AM,635.9,MHK VL
5/17/2019 1:00:00 AM,188.5,MILLWD
5/17/2019 1:00:00 AM,4205.9,N.Y.C.
5/17/2019 1:00:00 AM,468,NORTH
5/17/2019 1:00:00 AM,1288.1,WEST
5/17/2019 2:00:00 AM,931.2,CAPITL
5/17/2019 2:00:00 AM,1327.3,CENTRL
5/17/2019 2:00:00 AM,453.4,DUNWOD
5/17/2019 2:00:00 AM,818.6,GENESE
5/17/2019 2:00:00 AM,735.4,HUD VL
5/17/2019 2:00:00 AM,1544.3,LONGIL
5/17/2019 2:00:00 AM,624.4,MHK VL
5/17/2019 2:00:00 AM,188,MILLWD
5/17/2019 2:00:00 AM,4065.2,N.Y.C.
5/17/2019 2:00:00 AM,464.9,NORTH
5/17/2019 2:00:00 AM,1282.9,WEST
5/17/2019 3:00:00 AM,930.2,CAPITL
5/17/2019 3:00:00 AM,1325.5,CENTRL
5/17/2019 3:00:00 AM,444.5,DUNWOD
5/17/2019 3:00:00 AM,826.7,GENESE
5/17/2019 3:00:00 AM,731.1,HUD VL
5/17/2019 3:00:00 AM,1525.6,LONGIL
5/17/2019 3:00:00 AM,616,MHK VL
5/17/2019 3:00:00 AM,184.1,MILLWD
5/17/2019 3:00:00 AM,4006.3,N.Y.C.
5/17/2019 3:00:00 AM,450.5,NORTH
5/17/2019 3:00:00 AM,1294,WEST
5/17/2019 4:00:00 AM,951.9,CAPITL
5/17/2019 4:00:00 AM,1348.2,CENTRL
5/17/2019 4:00:00 AM,445.3,DUNWOD
5/17/2019 4:00:00 AM,843,GENESE
5/17/2019 4:00:00 AM,739.8,HUD VL
5/17/2019 4:00:00 AM,1552.1,LONGIL
5/17/2019 4:00:00 AM,629.3,MHK VL
5/17/2019 4:00:00 AM,183.8,MILLWD
5/17/2019 4:00:00 AM,4018.8,N.Y.C.
5/17/2019 4:00:00 AM,467.4,NORTH
5/17/2019 4:00:00 AM,1301.9,WEST
5/17/2019 5:00:00 AM,1019.4,CAPITL
5/17/2019 5:00:00 AM,1441.8,CENTRL
5/17/2019 5:00:00 AM,468.9,DUNWOD
5/17/2019 5:00:00 AM,905.9,GENESE
5/17/2019 5:00:00 AM,784.5,HUD VL
5/17/2019 5:00:00 AM,1628.3,LONGIL
5/17/2019 5:00:00 AM,685.8,MHK VL
5/17/2019 5:00:00 AM,199.8,MILLWD
5/17/2019 5:00:00 AM,4199.8,N.Y.C.
5/17/2019 5:00:00 AM,483.8,NORTH
5/17/2019 5:00:00 AM,1367,WEST
5/17/2019 6:00:00 AM,1144.8,CAPITL
5/17/2019 6:00:00 AM,1577.5,CENTRL
5/17/2019 6:00:00 AM,526.3,DUNWOD
5/17/2019 6:00:00 AM,984.7,GENESE
5/17/2019 6:00:00 AM,855.4,HUD VL
5/17/2019 6:00:00 AM,1778.8,LONGIL
5/17/2019 6:00:00 AM,770.9,MHK VL
5/17/2019 6:00:00 AM,227.9,MILLWD
5/17/2019 6:00:00 AM,4684.4,N.Y.C.
5/17/2019 6:00:00 AM,509.4,NORTH
5/17/2019 6:00:00 AM,1454.6,WEST
5/17/2019 7:00:00 AM,1233.4,CAPITL
5/17/2019 7:00:00 AM,1690.7,CENTRL
5/17/2019 7:00:00 AM,594.6,DUNWOD
5/17/2019 7:00:00 AM,1049,GENESE
5/17/2019 7:00:00 AM,926.9,HUD VL
5/17/2019 7:00:00 AM,1903.8,LONGIL
5/17/2019 7:00:00 AM,833.3,MHK VL
5/17/2019 7:00:00 AM,245.6,MILLWD
5/17/2019 7:00:00 AM,5248.8,N.Y.C.
5/17/2019 7:00:00 AM,505.8,NORTH
5/17/2019 7:00:00 AM,1538.9,WEST
5/17/2019 8:00:00 AM,1244.9,CAPITL
5/17/2019 8:00:00 AM,1733.5,CENTRL
5/17/2019 8:00:00 AM,625.6,DUNWOD
5/17/2019 8:00:00 AM,1071.1,GENESE
5/17/2019 8:00:00 AM,956.1,HUD VL
5/17/2019 8:00:00 AM,1932.7,LONGIL
5/17/2019 8:00:00 AM,835.5,MHK VL
5/17/2019 8:00:00 AM,256.2,MILLWD
5/17/2019 8:00:00 AM,5667.9,N.Y.C.
5/17/2019 8:00:00 AM,519.3,NORTH
5/17/2019 8:00:00 AM,1586.7,WEST
5/17/2019 9:00:00 AM,1229,CAPITL
5/17/2019 9:00:00 AM,1737.4,CENTRL
5/17/2019 9:00:00 AM,652.9,DUNWOD
5/17/2019 9:00:00 AM,1065.5,GENESE
5/17/2019 9:00:00 AM,963.8,HUD VL
5/17/2019 9:00:00 AM,1938.2,LONGIL
5/17/2019 9:00:00 AM,831.2,MHK VL
5/17/2019 9:00:00 AM,250.2,MILLWD
5/17/2019 9:00:00 AM,5943.3,N.Y.C.
5/17/2019 9:00:00 AM,495.3,NORTH
5/17/2019 9:00:00 AM,1582.6,WEST
5/17/2019 10:00:00 AM,1243.9,CAPITL
5/17/2019 10:00:00 AM,1708.9,CENTRL
5/17/2019 10:00:00 AM,675.6,DUNWOD
5/17/2019 10:00:00 AM,1080.8,GENESE
5/17/2019 10:00:00 AM,1019.5,HUD VL
5/17/2019 10:00:00 AM,1963.3,LONGIL
5/17/2019 10:00:00 AM,846.7,MHK VL
5/17/2019 10:00:00 AM,252.3,MILLWD
5/17/2019 10:00:00 AM,6104.8,N.Y.C.
5/17/2019 10:00:00 AM,516.6,NORTH
5/17/2019 10:00:00 AM,1596.2,WEST
5/17/2019 11:00:00 AM,1214.8,CAPITL
5/17/2019 11:00:00 AM,1748.4,CENTRL
5/17/2019 11:00:00 AM,688.2,DUNWOD
5/17/2019 11:00:00 AM,1094,GENESE
5/17/2019 11:00:00 AM,1057.3,HUD VL
5/17/2019 11:00:00 AM,2019.8,LONGIL
5/17/2019 11:00:00 AM,829,MHK VL
5/17/2019 11:00:00 AM,261.7,MILLWD
5/17/2019 11:00:00 AM,6231,N.Y.C.
5/17/2019 11:00:00 AM,521.1,NORTH
5/17/2019 11:00:00 AM,1611.1,WEST
5/17/2019 12:00:00 PM,1206.3,CAPITL
5/17/2019 12:00:00 PM,1734.2,CENTRL
5/17/2019 12:00:00 PM,701.7,DUNWOD
5/17/2019 12:00:00 PM,1075.2,GENESE
5/17/2019 12:00:00 PM,1064.4,HUD VL
5/17/2019 12:00:00 PM,2107.3,LONGIL
5/17/2019 12:00:00 PM,823,MHK VL
5/17/2019 12:00:00 PM,270.8,MILLWD
5/17/2019 12:00:00 PM,6331.6,N.Y.C.
5/17/2019 12:00:00 PM,512.7,NORTH
5/17/2019 12:00:00 PM,1596.4,WEST
5/17/2019 1:00:00 PM,1174.9,CAPITL
5/17/2019 1:00:00 PM,1724.9,CENTRL
5/17/2019 1:00:00 PM,701.4,DUNWOD
5/17/2019 1:00:00 PM,1048.9,GENESE
5/17/2019 1:00:00 PM,1041.1,HUD VL
5/17/2019 1:00:00 PM,2249.9,LONGIL
5/17/2019 1:00:00 PM,823.5,MHK VL
5/17/2019 1:00:00 PM,273.5,MILLWD
5/17/2019 1:00:00 PM,6285.1,N.Y.C.
5/17/2019 1:00:00 PM,507.9,NORTH
5/17/2019 1:00:00 PM,1611,WEST
5/17/2019 2:00:00 PM,1174.9,CAPITL
5/17/2019 2:00:00 PM,1685.7,CENTRL
5/17/2019 2:00:00 PM,690.7,DUNWOD
5/17/2019 2:00:00 PM,1026.8,GENESE
5/17/2019 2:00:00 PM,1017.5,HUD VL
5/17/2019 2:00:00 PM,2251.5,LONGIL
5/17/2019 2:00:00 PM,814.2,MHK VL
5/17/2019 2:00:00 PM,269.7,MILLWD
5/17/2019 2:00:00 PM,6233.8,N.Y.C.
5/17/2019 2:00:00 PM,482.1,NORTH
5/17/2019 2:00:00 PM,1603.4,WEST
5/17/2019 3:00:00 PM,1224.9,CAPITL
5/17/2019 3:00:00 PM,1651.2,CENTRL
5/17/2019 3:00:00 PM,682.9,DUNWOD
5/17/2019 3:00:00 PM,1002.7,GENESE
5/17/2019 3:00:00 PM,999.5,HUD VL
5/17/2019 3:00:00 PM,2202.1,LONGIL
5/17/2019 3:00:00 PM,818.6,MHK VL
5/17/2019 3:00:00 PM,265.6,MILLWD
5/17/2019 3:00:00 PM,6261.3,N.Y.C.
5/17/2019 3:00:00 PM,476.4,NORTH
5/17/2019 3:00:00 PM,1589.9,WEST
5/17/2019 4:00:00 PM,1257.7,CAPITL
5/17/2019 4:00:00 PM,1638.4,CENTRL
5/17/2019 4:00:00 PM,701.1,DUNWOD
5/17/2019 4:00:00 PM,992.9,GENESE
5/17/2019 4:00:00 PM,1008.3,HUD VL
5/17/2019 4:00:00 PM,2206,LONGIL
5/17/2019 4:00:00 PM,801.4,MHK VL
5/17/2019 4:00:00 PM,269.3,MILLWD
5/17/2019 4:00:00 PM,6362.8,N.Y.C.
5/17/2019 4:00:00 PM,497.3,NORTH
5/17/2019 4:00:00 PM,1557.6,WEST
5/17/2019 5:00:00 PM,1229.1,CAPITL
5/17/2019 5:00:00 PM,1611.4,CENTRL
5/17/2019 5:00:00 PM,694.9,DUNWOD
5/17/2019 5:00:00 PM,991.2,GENESE
5/17/2019 5:00:00 PM,1033.9,HUD VL
5/17/2019 5:00:00 PM,2262.9,LONGIL
5/17/2019 5:00:00 PM,784.3,MHK VL
5/17/2019 5:00:00 PM,275.6,MILLWD
5/17/2019 5:00:00 PM,6359.7,N.Y.C.
5/17/2019 5:00:00 PM,503.1,NORTH
5/17/2019 5:00:00 PM,1529,WEST
5/17/2019 6:00:00 PM,1224.8,CAPITL
5/17/2019 6:00:00 PM,1621,CENTRL
5/17/2019 6:00:00 PM,687.4,DUNWOD
5/17/2019 6:00:00 PM,993.3,GENESE
5/17/2019 6:00:00 PM,1055.7,HUD VL
5/17/2019 6:00:00 PM,2254.2,LONGIL
5/17/2019 6:00:00 PM,793.1,MHK VL
5/17/2019 6:00:00 PM,285.6,MILLWD
5/17/2019 6:00:00 PM,6138.3,N.Y.C.
5/17/2019 6:00:00 PM,504.5,NORTH
5/17/2019 6:00:00 PM,1512.6,WEST
5/17/2019 7:00:00 PM,1229.9,CAPITL
5/17/2019 7:00:00 PM,1616.1,CENTRL
5/17/2019 7:00:00 PM,683.5,DUNWOD
5/17/2019 7:00:00 PM,988,GENESE
5/17/2019 7:00:00 PM,1065.8,HUD VL
5/17/2019 7:00:00 PM,2259.7,LONGIL
5/17/2019 7:00:00 PM,804.1,MHK VL
5/17/2019 7:00:00 PM,289.4,MILLWD
5/17/2019 7:00:00 PM,6002.7,N.Y.C.
5/17/2019 7:00:00 PM,501,NORTH
5/17/2019 7:00:00 PM,1498.1,WEST
5/17/2019 8:00:00 PM,1242.9,CAPITL
5/17/2019 8:00:00 PM,1641.4,CENTRL
5/17/2019 8:00:00 PM,681.6,DUNWOD
5/17/2019 8:00:00 PM,1001.8,GENESE
5/17/2019 8:00:00 PM,1079.9,HUD VL
5/17/2019 8:00:00 PM,2306.9,LONGIL
5/17/2019 8:00:00 PM,820.7,MHK VL
5/17/2019 8:00:00 PM,288.3,MILLWD
5/17/2019 8:00:00 PM,5898.5,N.Y.C.
5/17/2019 8:00:00 PM,511.4,NORTH
5/17/2019 8:00:00 PM,1511.6,WEST
5/17/2019 9:00:00 PM,1211.5,CAPITL
5/17/2019 9:00:00 PM,1619.2,CENTRL
5/17/2019 9:00:00 PM,661.2,DUNWOD
5/17/2019 9:00:00 PM,999.6,GENESE
5/17/2019 9:00:00 PM,1058.2,HUD VL
5/17/2019 9:00:00 PM,2239,LONGIL
5/17/2019 9:00:00 PM,796.8,MHK VL
5/17/2019 9:00:00 PM,276.2,MILLWD
5/17/2019 9:00:00 PM,5742,N.Y.C.
5/17/2019 9:00:00 PM,509.6,NORTH
5/17/2019 9:00:00 PM,1545.3,WEST
5/17/2019 10:00:00 PM,1128.7,CAPITL
5/17/2019 10:00:00 PM,1517.5,CENTRL
5/17/2019 10:00:00 PM,621.3,DUNWOD
5/17/2019 10:00:00 PM,933.5,GENESE
5/17/2019 10:00:00 PM,986.1,HUD VL
5/17/2019 10:00:00 PM,2088.3,LONGIL
5/17/2019 10:00:00 PM,749.4,MHK VL
5/17/2019 10:00:00 PM,252.3,MILLWD
5/17/2019 10:00:00 PM,5466.5,N.Y.C.
5/17/2019 10:00:00 PM,476.2,NORTH
5/17/2019 10:00:00 PM,1471.1,WEST
5/17/2019 11:00:00 PM,1038.2,CAPITL
5/17/2019 11:00:00 PM,1413,CENTRL
5/17/2019 11:00:00 PM,573.6,DUNWOD
5/17/2019 11:00:00 PM,867.9,GENESE
5/17/2019 11:00:00 PM,899.9,HUD VL
5/17/2019 11:00:00 PM,1909.2,LONGIL
5/17/2019 11:00:00 PM,684.6,MHK VL
5/17/2019 11:00:00 PM,230.5,MILLWD
5/17/2019 11:00:00 PM,5117.4,N.Y.C.
5/17/2019 11:00:00 PM,452.5,NORTH
5/17/2019 11:00:00 PM,1395.4,WEST
5/18/2019 12:00:00 AM,975.2,CAPITL
5/18/2019 12:00:00 AM,1340.4,CENTRL
5/18/2019 12:00:00 AM,523.5,DUNWOD
5/18/2019 12:00:00 AM,817.9,GENESE
5/18/2019 12:00:00 AM,814.7,HUD VL
5/18/2019 12:00:00 AM,1763.7,LONGIL
5/18/2019 12:00:00 AM,633.4,MHK VL
5/18/2019 12:00:00 AM,204.4,MILLWD
5/18/2019 12:00:00 AM,4726.6,N.Y.C.
5/18/2019 12:00:00 AM,438.2,NORTH
5/18/2019 12:00:00 AM,1310,WEST
